cm-1;%T
4000,00;98,90
3999,00;98,89
3998,00;98,89
3997,00;98,88
3996,00;98,91
3995,00;98,91
3994,00;98,91
3993,00;98,91
3992,00;98,91
3991,00;98,91
3990,00;98,91
3989,00;98,90
3988,00;98,90
3987,00;98,90
3986,00;98,90
3985,00;98,90
3984,00;98,90
3983,00;98,90
3982,00;98,90
3981,00;98,91
3980,00;98,91
3979,00;98,91
3978,00;98,91
3977,00;98,91
3976,00;98,91
3975,00;98,91
3974,00;98,91
3973,00;98,90
3972,00;98,90
3971,00;98,90
3970,00;98,91
3969,00;98,91
3968,00;98,92
3967,00;98,92
3966,00;98,91
3965,00;98,91
3964,00;98,91
3963,00;98,91
3962,00;98,92
3961,00;98,92
3960,00;98,92
3959,00;98,92
3958,00;98,92
3957,00;98,92
3956,00;98,92
3955,00;98,92
3954,00;98,92
3953,00;98,93
3952,00;98,93
3951,00;98,92
3950,00;98,92
3949,00;98,91
3948,00;98,90
3947,00;98,90
3946,00;98,90
3945,00;98,91
3944,00;98,92
3943,00;98,93
3942,00;98,93
3941,00;98,92
3940,00;98,92
3939,00;98,91
3938,00;98,91
3937,00;98,91
3936,00;98,91
3935,00;98,90
3934,00;98,89
3933,00;98,90
3932,00;98,90
3931,00;98,91
3930,00;98,91
3929,00;98,91
3928,00;98,92
3927,00;98,92
3926,00;98,93
3925,00;98,93
3924,00;98,93
3923,00;98,91
3922,00;98,90
3921,00;98,89
3920,00;98,88
3919,00;98,88
3918,00;98,88
3917,00;98,88
3916,00;98,89
3915,00;98,90
3914,00;98,91
3913,00;98,91
3912,00;98,92
3911,00;98,92
3910,00;98,92
3909,00;98,92
3908,00;98,92
3907,00;98,92
3906,00;98,91
3905,00;98,90
3904,00;98,87
3903,00;98,85
3902,00;98,85
3901,00;98,86
3900,00;98,87
3899,00;98,89
3898,00;98,89
3897,00;98,89
3896,00;98,89
3895,00;98,89
3894,00;98,90
3893,00;98,91
3892,00;98,91
3891,00;98,91
3890,00;98,89
3889,00;98,88
3888,00;98,86
3887,00;98,86
3886,00;98,87
3885,00;98,88
3884,00;98,89
3883,00;98,90
3882,00;98,90
3881,00;98,91
3880,00;98,91
3879,00;98,91
3878,00;98,90
3877,00;98,90
3876,00;98,90
3875,00;98,91
3874,00;98,91
3873,00;98,90
3872,00;98,88
3871,00;98,87
3870,00;98,87
3869,00;98,87
3868,00;98,87
3867,00;98,87
3866,00;98,87
3865,00;98,89
3864,00;98,90
3863,00;98,89
3862,00;98,89
3861,00;98,88
3860,00;98,88
3859,00;98,88
3858,00;98,90
3857,00;98,90
3856,00;98,91
3855,00;98,90
3854,00;98,89
3853,00;98,88
3852,00;98,87
3851,00;98,88
3850,00;98,88
3849,00;98,89
3848,00;98,90
3847,00;98,90
3846,00;98,91
3845,00;98,91
3844,00;98,90
3843,00;98,90
3842,00;98,89
3841,00;98,88
3840,00;98,88
3839,00;98,88
3838,00;98,89
3837,00;98,90
3836,00;98,91
3835,00;98,91
3834,00;98,91
3833,00;98,91
3832,00;98,91
3831,00;98,91
3830,00;98,91
3829,00;98,92
3828,00;98,92
3827,00;98,92
3826,00;98,92
3825,00;98,91
3824,00;98,90
3823,00;98,89
3822,00;98,90
3821,00;98,90
3820,00;98,90
3819,00;98,89
3818,00;98,89
3817,00;98,89
3816,00;98,91
3815,00;98,92
3814,00;98,93
3813,00;98,93
3812,00;98,93
3811,00;98,93
3810,00;98,94
3809,00;98,93
3808,00;98,93
3807,00;98,92
3806,00;98,92
3805,00;98,91
3804,00;98,90
3803,00;98,89
3802,00;98,90
3801,00;98,91
3800,00;98,91
3799,00;98,92
3798,00;98,92
3797,00;98,92
3796,00;98,93
3795,00;98,94
