cm-1;%T
4000,00;97,46
3999,00;97,46
3998,00;97,46
3997,00;97,46
3996,00;97,46
3995,00;97,46
3994,00;97,46
3993,00;97,46
3992,00;97,46
3991,00;97,46
3990,00;97,46
3989,00;97,46
3988,00;97,46
3987,00;97,47
3986,00;97,47
3985,00;97,47
3984,00;97,47
3983,00;97,47
3982,00;97,47
3981,00;97,47
3980,00;97,48
3979,00;97,48
3978,00;97,48
3977,00;97,48
3976,00;97,48
3975,00;97,48
3974,00;97,47
3973,00;97,47
3972,00;97,47
3971,00;97,48
3970,00;97,48
3969,00;97,48
3968,00;97,48
3967,00;97,48
3966,00;97,48
3965,00;97,48
3964,00;97,49
3963,00;97,49
3962,00;97,49
3961,00;97,50
3960,00;97,50
3959,00;97,50
3958,00;97,50
3957,00;97,50
3956,00;97,50
3955,00;97,50
3954,00;97,50
3953,00;97,50
3952,00;97,50
3951,00;97,50
3950,00;97,50
3949,00;97,50
3948,00;97,50
3947,00;97,50
3946,00;97,50
3945,00;97,50
3944,00;97,50
3943,00;97,51
3942,00;97,51
3941,00;97,51
3940,00;97,50
3939,00;97,50
3938,00;97,50
3937,00;97,50
3936,00;97,50
3935,00;97,50
3934,00;97,49
3933,00;97,50
3932,00;97,50
3931,00;97,51
3930,00;97,51
3929,00;97,52
3928,00;97,52
3927,00;97,52
3926,00;97,52
3925,00;97,53
3924,00;97,53
3923,00;97,52
3922,00;97,52
3921,00;97,52
3920,00;97,52
3919,00;97,52
3918,00;97,52
3917,00;97,52
3916,00;97,52
3915,00;97,52
3914,00;97,52
3913,00;97,52
3912,00;97,53
3911,00;97,53
3910,00;97,53
3909,00;97,53
3908,00;97,53
3907,00;97,53
3906,00;97,53
3905,00;97,53
3904,00;97,53
3903,00;97,53
3902,00;97,52
3901,00;97,52
3900,00;97,52
3899,00;97,53
3898,00;97,53
3897,00;97,53
3896,00;97,53
3895,00;97,54
3894,00;97,54
3893,00;97,55
3892,00;97,55
3891,00;97,55
