cm-1;%T
4000,00;98,93
3999,00;98,92
3998,00;98,91
3997,00;98,94
3996,00;98,94
3995,00;98,95
3994,00;98,95
3993,00;98,95
3992,00;98,95
3991,00;98,95
3990,00;98,95
3989,00;98,95
3988,00;98,94
3987,00;98,94
3986,00;98,94
3985,00;98,94
3984,00;98,95
3983,00;98,95
3982,00;98,95
3981,00;98,95
3980,00;98,96
3979,00;98,96
3978,00;98,96
3977,00;98,96
3976,00;98,96
3975,00;98,95
3974,00;98,95
3973,00;98,95
3972,00;98,96
3971,00;98,96
3970,00;98,97
3969,00;98,97
3968,00;98,98
3967,00;98,98
3966,00;98,98
3965,00;98,98
3964,00;98,98
3963,00;98,98
3962,00;98,98
3961,00;98,99
3960,00;98,99
3959,00;98,99
3958,00;98,99
3957,00;98,99
3956,00;98,99
3955,00;98,99
3954,00;98,99
3953,00;98,99
3952,00;98,99
3951,00;98,99
3950,00;98,98
3949,00;98,97
3948,00;98,97
3947,00;98,97
3946,00;98,98
3945,00;98,99
3944,00;99,01
3943,00;99,01
3942,00;99,01
3941,00;99,01
3940,00;99,01
3939,00;99,00
3938,00;99,00
3937,00;99,00
3936,00;98,99
3935,00;98,98
3934,00;98,97
3933,00;98,97
3932,00;98,98
3931,00;98,99
3930,00;99,00
3929,00;99,01
3928,00;99,02
3927,00;99,03
3926,00;99,04
3925,00;99,04
3924,00;99,03
3923,00;99,01
3922,00;99,00
3921,00;98,98
3920,00;98,98
3919,00;98,98
3918,00;98,98
3917,00;98,99
3916,00;99,01
3915,00;99,02
3914,00;99,02
3913,00;99,03
3912,00;99,03
3911,00;99,03
3910,00;99,03
3909,00;99,03
3908,00;99,03
3907,00;99,03
3906,00;99,02
3905,00;98,99
3904,00;98,96
3903,00;98,94
3902,00;98,94
3901,00;98,95
3900,00;98,98
3899,00;99,00
3898,00;99,01
3897,00;99,01
3896,00;99,00
3895,00;99,01
3894,00;99,01
3893,00;99,02
3892,00;99,02
3891,00;99,02
3890,00;99,01
3889,00;98,99
3888,00;98,97
3887,00;98,97
3886,00;98,98
3885,00;98,99
3884,00;98,99
3883,00;99,00
3882,00;99,00
3881,00;99,01
3880,00;99,02
3879,00;99,01
3878,00;99,00
3877,00;98,99
3876,00;98,99
3875,00;99,00
3874,00;99,00
3873,00;98,99
3872,00;98,97
3871,00;98,96
3870,00;98,96
3869,00;98,96
3868,00;98,96
3867,00;98,96
3866,00;98,96
3865,00;98,97
3864,00;98,98
3863,00;98,97
3862,00;98,96
3861,00;98,96
3860,00;98,96
3859,00;98,96
3858,00;98,97
3857,00;98,98
3856,00;98,99
3855,00;98,99
3854,00;98,99
3853,00;98,98
3852,00;98,98
3851,00;98,97
3850,00;98,97
3849,00;98,97
3848,00;98,97
3847,00;98,98
3846,00;98,98
3845,00;98,98
3844,00;98,98
3843,00;98,97
3842,00;98,97
3841,00;98,96
3840,00;98,96
3839,00;98,97
3838,00;98,98
3837,00;98,99
3836,00;99,00
3835,00;99,00
3834,00;98,99
3833,00;98,99
3832,00;98,99
3831,00;98,99
3830,00;99,00
3829,00;99,00
3828,00;99,00
3827,00;99,00
3826,00;99,00
3825,00;98,98
3824,00;98,96
3823,00;98,95
3822,00;98,95
3821,00;98,96
3820,00;98,96
3819,00;98,95
3818,00;98,94
3817,00;98,95
3816,00;98,97
3815,00;98,99
3814,00;99,00
3813,00;99,00
3812,00;99,00
3811,00;98,99
3810,00;98,99
3809,00;98,98
3808,00;98,97
3807,00;98,97
3806,00;98,96
3805,00;98,95
3804,00;98,94
3803,00;98,94
3802,00;98,95
3801,00;98,96
3800,00;98,96
3799,00;98,96
3798,00;98,97
3797,00;98,97
3796,00;98,98
3795,00;98,99
3794,00;99,00
3793,00;99,01
3792,00;99,02
3791,00;99,02
3790,00;99,02
3789,00;99,02
3788,00;99,02
3787,00;99,02
3786,00;99,03
3785,00;99,02
3784,00;99,02
3783,00;99,01
3782,00;99,00
3781,00;98,99
3780,00;98,99
3779,00;99,00
3778,00;99,00
3777,00;98,99
3776,00;98,99
3775,00;98,99
3774,00;98,98
3773,00;98,96
3772,00;98,95
3771,00;98,94
3770,00;98,93
3769,00;98,93
3768,00;98,93
3767,00;98,93
3766,00;98,94
3765,00;98,94
3764,00;98,94
3763,00;98,93
3762,00;98,91
3761,00;98,91
3760,00;98,91
3759,00;98,91
3758,00;98,90
3757,00;98,88
3756,00;98,86
3755,00;98,83
3754,00;98,80
3753,00;98,77
3752,00;98,75
3751,00;98,73
3750,00;98,73
3749,00;98,73
3748,00;98,75
3747,00;98,75
3746,00;98,76
3745,00;98,77
3744,00;98,78
3743,00;98,78
3742,00;98,77
3741,00;98,75
3740,00;98,73
3739,00;98,70
3738,00;98,69
3737,00;98,68
3736,00;98,70
3735,00;98,72
