Ts;mass;dxdy
31,0595;6,05933;-0,00271198
36,917;6,05524;-0,00271198
45,1638;6,03576;-0,00271198
53,2644;6,01173;-0,00282398
61,0866;5,988;-0,00276591
68,88;5,9666;-0,0023578
76,69;5,94864;-0,00176597
84,5051;5,93827;-0,00112437
92,3396;5,93268;-0,000559914
100,223;5,931;-0,000171881
108,13;5,93156;8,09E-05
116,06;5,93301;0,000247257
124,011;5,93569;0,000356924
131,994;5,93897;0,000414813
139,973;5,94269;0,000416972
147,965;5,94603;0,00034189
156,009;5,94852;0,000225711
164,052;5,94986;7,09E-06
172,082;5,95;-0,000233237
180,129;5,9457;-0,000439676
188,185;5,94117;-0,00054168
196,263;5,93607;-0,000487034
204,326;5,93242;-0,000293636
212,38;5,93095;-5,40E-05
220,415;5,9315;0,000179447
228,479;5,93476;0,000376924
236,518;5,93793;0,00050499
244,486;5,94305;0,000565558
252,383;5,94779;0,000608937
260,64;5,95233;0,000624977
268,773;5,95711;0,000659981
276,838;5,96274;0,000687569
284,867;5,96835;0,000698833
292,877;5,97385;0,000701735
300,916;5,97897;0,00068987
308,921;5,9848;0,000662156
316,938;5,98986;0,000616941
324,942;5,99382;0,000523663
332,94;5,99896;0,000373427
340,93;6,00092;0,000146126
348,922;6,0017;-0,000189799
356,929;5,99861;-0,000679994
364,91;5,99292;-0,00149882
372,89;5,97998;-0,00310825
380,863;5,9555;-0,00606906
388,853;5,90221;-0,0112099
396,914;5,80509;-0,0197812
404,92;5,63206;-0,0329704
412,842;5,34002;-0,0498979
420,786;4,86474;-0,0670992
428,726;4,23393;-0,0780852
436,671;3,51623;-0,0765379
444,619;2,87383;-0,0624508
452,752;2,46336;-0,0418677
460,638;2,2788;-0,0227824
468,356;2,20452;-0,0105404
476,007;2,16947;-0,0050339
483,667;2,14634;-0,0030952
491,343;2,12754;-0,00246233
499,03;2,11009;-0,00225913
506,705;2,09339;-0,00221413
514,399;2,076;-0,0022426
522,084;2,05831;-0,00232361
529,782;2,03956;-0,00244223
537,494;2,02047;-0,00255243
545,206;1,99973;-0,00265758
552,927;1,9783;-0,00274945
560,645;1,95676;-0,00281132
568,358;1,93425;-0,00281854
576,056;1,91172;-0,00275186
583,743;1,88911;-0,00260583
591,428;1,87045;-0,0024034
599,116;1,85235;-0,00217957
606,787;1,83639;-0,00194382
614,464;1,82185;-0,00169271
622,129;1,80949;-0,00146456
629,78;1,79951;-0,0012232
637,433;1,79007;-0,00101349
645,07;1,7837;-0,000838844
652,701;1,77803;-0,00068792
660,352;1,7731;-0,000587373
667,986;1,76888;-0,000523694
675,631;1,76569;-0,000488202
683,261;1,76148;-0,000469727
690,882;1,75801;-0,000427716
698,543;1,75401;-0,000397108
706,187;1,75204;-0,000363799
713,84;1,74965;-0,000340394
721,506;1,74623;-0,0003485
729,182;1,744;-0,000347449
736,863;1,74106;-0,000364751
744,533;1,73758;-0,000299608
752,2;1,73612;-0,000245567
759,882;1,73481;-0,00018868
767,584;1,73376;-0,000128916
775,263;1,732;-0,00011448
782,928;1,73098;-7,51E-05
790,62;1,72934;-7,51E-05
798,309;1,72956;-7,51E-05
