Ts;mass;dxdy
25,5169;8,17;0,000375523
28,3077;8,17;0,000375523
33,7436;8,17;0,000375523
39,892;8,17;0,000375523
46,2153;8,17;0,000163241
52,6895;8,17;0,000076013
59,2808;8,17;0,000115475
65,9267;8,17;0,000153712
72,6478;8,17;0,000156996
79,3958;8,17;1,42E-04
86,1325;8,17;0,000132683
92,9394;8,17;9,62046E-05
99,7649;8,17;0,000096102
106,595;8,17;0,000111056
113,463;8,17;0,000129761
120,347;8,17;0,00010868
127,228;8,17;8,54E-05
134,16;8,17;0,000065301
141,065;8,17;3,32181E-05
148,057;8,17;8,8471E-06
155,003;8,17;-1,30672E-05
161,97;8,16998;-7,47861E-05
168,932;8,1696;-1,03E-04
175,928;8,16694;-0,000102988
182,953;8,16664;-8,09391E-05
189,934;8,167;-5,80754E-05
196,921;8,16613;-5,06606E-05
203,927;8,1661;-9,59949E-05
210,914;8,16515;-0,000156667
217,926;8,16455;-0,000217107
224,943;8,1625;-0,000261177
231,944;8,15976;-0,000268204
238,941;8,15818;-0,000281428
245,91;8,156;-0,000296743
252,283;8,15526;-0,000339081
259,743;8,15191;-0,000405815
266,958;8,14812;-0,000499007
274,033;8,1449;-0,000613425
281,061;8,14162;-0,00130918
288,091;8,1362;-0,00322697
295,207;8,12622;-0,00532364
302,557;8,061;-0,00693491
309,232;7,98836;-0,00770189
316,039;7,94021;-0,00748762
322,946;7,8992;-0,00697719
329,897;7,86021;-0,00795822
336,856;7,81;-0,0108278
343,848;7,73561;-0,0156888
350,797;7,61817;-0,0223058
357,725;7,44343;-0,0298225
364,639;7,20633;-0,0373425
371,546;6,91494;-0,0441871
378,449;6,58968;-0,0499527
385,364;6,2249;-0,0546431
392,266;5,8315;-0,0584965
399,161;5,41522;-0,0615448
406,068;4,98247;-0,0634837
412,974;4,53499;-0,0637226
419,887;4,08535;-0,0610689
426,783;3,65372;-0,0547201
433,682;3,28289;-0,0452971
440,571;3,01489;-0,0344469
447,448;2,83913;-0,0241953
454,31;2,72315;-0,0161726
461,18;2,64711;-0,0107866
468,036;2,59531;-0,0073584
474,868;2,5588;-0,00519821
481,688;2,53227;-0,0038572
488,513;2,51087;-0,0030195
495,33;2,49357;-0,00248946
502,14;2,47869;-0,00214177
508,965;2,4648;-0,00193496
515,759;2,45352;-0,00180423
522,555;2,44133;-0,00172375
529,36;2,42933;-0,00168632
536,161;2,41869;-0,00168772
542,952;2,40748;-0,00168207
549,75;2,39551;-0,00168852
556,542;2,38354;-0,00170654
563,32;2,37254;-0,00171387
570,094;2,36085;-0,00173541
576,88;2,34881;-0,00176229
583,658;2,33612;-0,00179637
590,429;2,32392;-0,00175682
597,174;2,3121;-0,00165736
603,936;2,30039;-0,00153011
610,683;2,29146;-0,00141481
617,424;2,28212;-0,00130912
624,167;2,27318;-0,0012668
630,886;2,26477;-0,00123513
637,618;2,25623;-0,00116729
644,327;2,2481;-0,00111705
651,037;2,24114;-0,00107897
657,755;2,23436;-0,00102852
664,454;2,22679;-0,00099537
671,155;2,21988;-9,76E-04
677,858;2,21453;-9,47E-04
684,556;2,20746;-9,29E-04
691,256;2,20061;-9,29E-04
697,958;2,19525;-9,29E-04
